Number;Name;Business;Country;EAD;LGD;PD;Default;A;B;C
137;Name  137;C;B;321392,039;0,598913617;0,094055143;Poisson;0;0;1
138;Name  138;C;C;488880,2429;0,304504022;0,301448089;Poisson;0;0;1
139;Name  139;C;A;273472,6997;0,156721685;0,31552309;Poisson;0;0;1
140;Name  140;C;E;669838,1244;0,958392945;0,017143939;Poisson;0;0;1
141;Name  141;B;E;275771,7758;0,372742456;0,014051309;Poisson;0;1;0
142;Name  142;B;B;395308,956;0,529500135;0,203218714;Poisson;0;1;0
143;Name  143;C;D;333138,3004;0,711097232;0,177984736;Poisson;0;0;1
144;Name  144;A;D;503400,3917;0,828792064;0,262463754;Poisson;1;0;0
145;Name  145;C;A;279999,5241;0,729570708;0,146333551;Poisson;0;0;1
146;Name  146;B;E;380218,4472;0,685941783;0,100570393;Poisson;0;1;0
147;Name  147;A;B;50658,33983;0,386690307;0,160131562;Poisson;1;0;0
148;Name  148;A;C;949390,7303;0,025422972;0,004082643;Poisson;1;0;0
149;Name  149;B;D;151811,2692;0,076621406;0,094697694;Poisson;0;1;0
150;Name  150;C;E;236950,1806;0,382556024;0,16345961;Poisson;0;0;1
151;Name  151;A;E;247638,0355;0,772369762;0,205122918;Poisson;1;0;0
152;Name  152;C;B;54240,16263;0,766448551;0,054133511;Poisson;0;0;1
153;Name  153;B;D;407758,4525;0,617492233;0,12674274;Poisson;0;1;0
154;Name  154;A;D;668137,4994;0,011529091;0,049181783;Poisson;1;0;0
155;Name  155;B;C;778329,9809;0,704261838;0,287807993;Poisson;0;1;0
156;Name  156;C;C;615708,5354;0,366414235;0,156850739;Poisson;0;0;1
157;Name  157;B;A;732668,2525;0,087384242;0,050583479;Poisson;0;1;0
158;Name  158;A;D;552329,2929;0,566899276;0,332544639;Poisson;1;0;0
159;Name  159;C;B;738097,4716;0,460533226;0,084195684;Poisson;0;0;1
160;Name  160;B;E;107825,6044;0,881449843;0,175238878;Poisson;0;1;0
161;Name  161;A;E;305285,7729;0,932766465;0,078727386;Poisson;1;0;0
162;Name  162;A;C;629084,7497;0,197272608;0,227727749;Poisson;1;0;0
163;Name  163;A;A;306987,4267;0,984318889;0,213036558;Poisson;1;0;0
164;Name  164;C;A;566855,1694;0,811043546;0,266436166;Poisson;0;0;1
165;Name  165;A;C;439044,5622;0,614271043;0,110834519;Poisson;1;0;0
166;Name  166;B;C;894453,3105;0,632045104;0,131764441;Poisson;0;1;0
167;Name  167;B;D;661508,1492;0,533965405;0,043081477;Poisson;0;1;0
168;Name  168;C;C;35771,76928;0,889321614;0,031483933;Poisson;0;0;1
169;Name  169;C;E;797011,6264;0,57125667;0,257811114;Poisson;0;0;1
170;Name  170;A;E;809344,2356;0,672348512;0,0288604;Poisson;1;0;0
171;Name  171;B;E;888716,1884;0,197803371;0,213458261;Poisson;0;1;0
172;Name  172;C;A;320248,8349;0,758798154;0,020907099;Poisson;0;0;1
173;Name  173;C;A;882401,3148;0,757294203;0,275744296;Poisson;0;0;1
174;Name  174;A;A;9699,67062;0,182340773;0,190508455;Poisson;1;0;0
175;Name  175;B;E;294225,5406;0,416580149;0,132848281;Poisson;0;1;0
176;Name  176;A;A;137544,6477;0,545573298;0,259837305;Poisson;1;0;0
177;Name  177;A;D;945483,4871;0,531778635;0,042853428;Poisson;1;0;0
178;Name  178;C;B;484053,5257;0,566446177;0,135573571;Poisson;0;0;1
179;Name  179;A;D;157110,9153;0,478313725;0,007153107;Poisson;1;0;0
180;Name  180;B;B;483298,011;0,863410847;0,219748413;Poisson;0;1;0
181;Name  181;C;C;798600,5956;0,966661581;0,084053798;Poisson;0;0;1
182;Name  182;A;B;897811,4465;0,887208854;0,165451876;Poisson;1;0;0
183;Name  183;B;D;100976,3361;0,946043846;0,309605823;Poisson;0;1;0
184;Name  184;B;E;945147,2591;0,319626831;0,141950655;Poisson;0;1;0
185;Name  185;A;A;93149,8819;0,606489487;0,085957181;Poisson;1;0;0
186;Name  186;B;A;628316,9416;0,172970736;0,311790099;Poisson;0;1;0
187;Name  187;B;C;51417,50653;0,19417366;0,005482837;Poisson;0;1;0
188;Name  188;C;E;868268,1335;0,982278192;0,032061844;Poisson;0;0;1
189;Name  189;C;C;942449,7392;0,228360619;0,147852291;Poisson;0;0;1
190;Name  190;B;B;19595,98372;0,977775832;0,090615632;Poisson;0;1;0
191;Name  191;C;D;920319,8257;0,278895054;0,313236732;Poisson;0;0;1
192;Name  192;A;C;598142,3862;0,106465099;0,251961682;Poisson;1;0;0
193;Name  193;B;E;262068,4164;0,19270673;0,087606659;Poisson;0;1;0
194;Name  194;A;C;400636,7832;0,506573474;0,035658225;Poisson;1;0;0
195;Name  195;C;B;206431,6247;0,811810473;0,050652189;Poisson;0;0;1
196;Name  196;A;D;539035,4585;0,237591802;0,329561754;Poisson;1;0;0
197;Name  197;C;D;712208,7026;0,371825543;0,342942283;Poisson;0;0;1
198;Name  198;B;C;583886,5197;0,370788958;0,014387273;Poisson;0;1;0
199;Name  199;C;A;959797,5844;0,516053108;0,079656997;Poisson;0;0;1
200;Name  200;A;A;854382,0668;0,408687753;0,126291328;Poisson;1;0;0
201;Name  201;B;C;21992,90534;0,096363985;0,193638449;Poisson;0;1;0
202;Name  202;C;C;772666,3933;0,648112789;0,121067017;Poisson;0;0;1
203;Name  203;B;E;654929,1884;0,687836203;0,269892786;Poisson;0;1;0
204;Name  204;B;A;227153,0233;0,944349799;0,000558925;Poisson;0;1;0
205;Name  205;A;C;947193,8181;0,103338281;0,072684824;Poisson;1;0;0
206;Name  206;B;A;35474,23993;0,774487396;0,039457269;Poisson;0;1;0
207;Name  207;A;E;309048,1751;0,051321516;0,141538335;Poisson;1;0;0
208;Name  208;C;E;988331,6458;0,98691759;0,023245937;Poisson;0;0;1
209;Name  209;C;B;871469,2969;0,174958491;0,19448052;Poisson;0;0;1
210;Name  210;A;B;314962,6088;0,587814079;0,26855978;Poisson;1;0;0
211;Name  211;A;A;226882,4929;0,710323666;0,119056644;Poisson;1;0;0
212;Name  212;C;B;197405,6075;0,457710551;0,200397153;Poisson;0;0;1
213;Name  213;B;A;448850,3566;0,420090789;0,261022851;Poisson;0;1;0
214;Name  214;B;D;516090,7295;0,149515969;0,315448338;Poisson;0;1;0
215;Name  215;B;E;914184,6739;0,010192092;0,180713103;Poisson;0;1;0
216;Name  216;C;C;706546,8636;0,257783057;0,177231746;Poisson;0;0;1
217;Name  217;A;C;260532,2611;0,484974625;0,222017876;Poisson;1;0;0
218;Name  218;C;D;584973,9719;0,375710175;0,114368895;Poisson;0;0;1
219;Name  219;A;B;758120,2906;0,844570045;0,109416763;Poisson;1;0;0
220;Name  220;C;D;415507,0719;0,929717164;0,156438812;Poisson;0;0;1
221;Name  221;A;C;195041,8059;0,427313403;0,326279655;Poisson;1;0;0
222;Name  222;B;C;830537,8693;0,379208719;0,095209688;Poisson;0;1;0
223;Name  223;A;D;519447,8556;0,235866281;0,317442446;Poisson;1;0;0
224;Name  224;C;E;870973,1023;0,908238695;0,195264542;Poisson;0;0;1
225;Name  225;C;A;879188,5771;0,976575219;0,157194082;Poisson;0;0;1
226;Name  226;B;E;242818,7463;0,537680727;0,22325935;Poisson;0;1;0
227;Name  227;B;B;407197,0077;0,654431081;0,252031172;Poisson;0;1;0
228;Name  228;C;B;555826,6239;0,538506181;0,323880936;Poisson;0;0;1
229;Name  229;C;C;372685,7014;0,548288378;0,038112211;Poisson;0;0;1
230;Name  230;B;B;424856,9264;0,470248335;0,014892486;Poisson;0;1;0
231;Name  231;A;E;648420,5517;0,963016489;0,288125298;Poisson;1;0;0
232;Name  232;C;A;369237,7098;0,045533232;0,083075878;Poisson;0;0;1
233;Name  233;C;C;702093,5489;0,05300942;0,008564928;Poisson;0;0;1
234;Name  234;C;A;25007,42929;0,669715409;0,13678232;Poisson;0;0;1
235;Name  235;A;D;949614,4012;0,658166491;0,088555112;Poisson;1;0;0
236;Name  236;A;A;945718,844;0,787350024;0,347221676;Poisson;1;0;0
237;Name  237;A;A;376323,9046;0,12351595;0,006053348;Poisson;1;0;0
238;Name  238;A;A;448017,0363;0,91214291;0,045780899;Poisson;1;0;0
239;Name  239;C;A;793833,1804;0,163521058;0,242269879;Poisson;0;0;1
240;Name  240;B;D;271185,083;0,566159426;0,074534579;Poisson;0;1;0
241;Name  241;A;E;869262,2833;0,604319834;0,082505678;Poisson;1;0;0
242;Name  242;C;C;396960,8348;0,185320452;0,159492507;Poisson;0;0;1
243;Name  243;A;B;51162,92776;0,921265075;0,150010301;Poisson;1;0;0
244;Name  244;B;C;463731,9093;0,206435753;0,208886371;Poisson;0;1;0
245;Name  245;C;A;859829,8093;0,890526222;0,299891017;Poisson;0;0;1
246;Name  246;A;A;600574,3015;0,8684736;0,335715991;Poisson;1;0;0
247;Name  247;C;E;553935,0829;0,267447188;0,172327494;Poisson;0;0;1
248;Name  248;C;E;212280,6838;0,259029814;0,224010512;Poisson;0;0;1
249;Name  249;A;A;281207,3753;0,215740632;0,32415842;Poisson;1;0;0
250;Name  250;B;A;327960,1972;0,844639838;0,190384081;Poisson;0;1;0
251;Name  251;C;C;972677,2024;0,156796055;0,301695602;Poisson;0;0;1
252;Name  252;A;E;508087,3472;0,877181598;0,029122874;Poisson;1;0;0
253;Name  253;C;E;164073,0221;0,954515959;0,036621482;Poisson;0;0;1
254;Name  254;B;A;88081,50275;0,475071883;0,139505474;Poisson;0;1;0
255;Name  255;C;A;605722,0381;0,866735333;0,176589752;Poisson;0;0;1
256;Name  256;A;C;31115,06524;0,393260448;0,098487525;Poisson;1;0;0
257;Name  257;B;D;90481,43582;0,98218861;0,180991798;Poisson;0;1;0
258;Name  258;B;B;59696,69008;0,611656961;0,047529026;Poisson;0;1;0
259;Name  259;A;C;974849,4706;0,595526875;0,275499895;Poisson;1;0;0
260;Name  260;B;D;64856,18454;0,2447591;0,121597263;Poisson;0;1;0
261;Name  261;C;B;656466,519;0,485764535;0,145730466;Poisson;0;0;1
262;Name  262;B;C;694226,5708;0,944875489;0,322535032;Poisson;0;1;0
263;Name  263;A;C;553394,0715;0,958189822;0,127086784;Poisson;1;0;0
264;Name  264;C;B;756508,734;0,403045964;0,07225369;Poisson;0;0;1
265;Name  265;C;E;730133,3771;0,58796745;0,104050558;Poisson;0;0;1
266;Name  266;B;C;789637,508;0,746615862;0,189763408;Poisson;0;1;0
267;Name  267;C;B;861605,6403;0,321323979;0,286409392;Poisson;0;0;1
268;Name  268;C;C;299845,3994;0,828463707;0,102260137;Poisson;0;0;1
269;Name  269;C;C;134924,2826;0,795815179;0,16135911;Poisson;0;0;1
270;Name  270;B;B;531626,8592;0,30188006;0,217864979;Poisson;0;1;0
271;Name  271;A;D;525998,0431;0,832868415;0,088296432;Poisson;1;0;0
272;Name  272;A;C;921522,7644;0,758226821;0,342927507;Poisson;1;0;0
273;Name  273;C;C;803311,0221;0,391468548;0,204715459;Poisson;0;0;1
274;Name  274;C;A;290134,9838;0,449642841;0,270388551;Poisson;0;0;1
275;Name  275;B;D;590349,6965;0,596387898;0,343414993;Poisson;0;1;0
276;Name  276;C;E;981355,2989;0,52217365;0,027817114;Poisson;0;0;1
277;Name  277;C;D;648903,0908;0,40022651;0,246216131;Poisson;0;0;1
278;Name  278;C;D;155787,2813;0,936992728;0,236371123;Poisson;0;0;1
279;Name  279;A;E;120715,6449;0,650156173;0,205709084;Poisson;1;0;0
280;Name  280;C;E;523673,8366;0,193518629;0,275030529;Poisson;0;0;1
281;Name  281;A;A;978603,397;0,173507357;0,186974879;Poisson;1;0;0
282;Name  282;B;B;913412,8976;0,406932032;0,127730024;Poisson;0;1;0
283;Name  283;C;B;953967,4658;0,987827031;0,044663371;Poisson;0;0;1
284;Name  284;A;C;881570,976;0,592416449;0,26434522;Poisson;1;0;0
285;Name  285;A;A;691845,4432;0,759441986;0,05535855;Poisson;1;0;0
286;Name  286;C;D;31587,72493;0,051119522;0,144889408;Poisson;0;0;1
287;Name  287;B;B;232457,5757;0,946850185;0,044152858;Poisson;0;1;0
288;Name  288;A;A;127826,0872;0,030055515;0,299984462;Poisson;1;0;0
289;Name  289;B;C;424368,8299;0,395889985;0,3247994;Poisson;0;1;0
290;Name  290;C;B;616464,9277;0,950941695;0,052761545;Poisson;0;0;1
291;Name  291;A;E;943700,994;0,855185543;0,177014554;Poisson;1;0;0
292;Name  292;A;C;301723,2955;0,067114134;0,108048132;Poisson;1;0;0
293;Name  293;A;E;850722,9953;0,534122437;0,245000606;Poisson;1;0;0
294;Name  294;A;B;507865,1174;0,473705619;0,202367012;Poisson;1;0;0
295;Name  295;A;E;508772,4119;0,53725612;0,224820031;Poisson;1;0;0
296;Name  296;A;E;606855,6512;0,746786734;0,047565416;Poisson;1;0;0
297;Name  297;B;D;798298,9549;0,729152638;0,31910848;Poisson;0;1;0
298;Name  298;C;D;149914,2975;0,043922019;0,132713383;Poisson;0;0;1
299;Name  299;A;C;545337,0679;0,398601917;0,033398625;Poisson;1;0;0
300;Name  300;C;E;817583,3814;0,784633186;0,180066517;Poisson;0;0;1
301;Name  301;A;A;333801,8045;0,260934096;0,087080244;Poisson;1;0;0
302;Name  302;B;A;924652,6092;0,81613017;0,203252306;Poisson;0;1;0
303;Name  303;A;E;178614,8519;0,147534386;0,288963858;Poisson;1;0;0
304;Name  304;A;A;663333,5419;0,480856499;0,331111043;Poisson;1;0;0
305;Name  305;C;A;434141,8699;0,786995018;0,230296521;Poisson;0;0;1
306;Name  306;A;E;744398,6096;0,211459764;0,118004798;Poisson;1;0;0
307;Name  307;A;D;973453,3483;0,95284176;0,345922308;Poisson;1;0;0
308;Name  308;B;C;953605,401;0,436860229;0,013600784;Poisson;0;1;0
309;Name  309;B;A;186268,031;0,896646959;0,017093938;Poisson;0;1;0
310;Name  310;A;B;836272,9803;0,316574474;0,265940901;Poisson;1;0;0
311;Name  311;C;B;275337,909;0,874316699;0,024231602;Poisson;0;0;1
312;Name  312;A;B;219139,0201;0,007897291;0,042650696;Poisson;1;0;0
313;Name  313;A;D;458329,0189;0,234529694;0,24330964;Poisson;1;0;0
314;Name  314;A;A;230093,0568;0,901098152;0,043974144;Poisson;1;0;0
315;Name  315;A;C;852785,0135;0,075866231;0,172263173;Poisson;1;0;0
316;Name  316;A;A;222681,5097;0,001446834;0,091877013;Poisson;1;0;0
317;Name  317;B;D;737452,5644;0,058576406;0,282150586;Poisson;0;1;0
318;Name  318;B;B;390772,0454;0,768152117;0,01577238;Poisson;0;1;0
319;Name  319;C;D;163080,9822;0,438626099;0,283955924;Poisson;0;0;1
320;Name  320;A;E;719023,698;0,494017061;0,283402524;Poisson;1;0;0
321;Name  321;B;D;54587,11042;0,136001877;0,067913496;Poisson;0;1;0
322;Name  322;C;E;572108,4115;0,144883832;0,204796908;Poisson;0;0;1
323;Name  323;A;C;387538,4502;0,701871723;0,234976836;Poisson;1;0;0
324;Name  324;C;B;514730,3649;0,03232299;0,227334895;Poisson;0;0;1
325;Name  325;A;E;115097,3198;0,971968585;0,234301915;Poisson;1;0;0
326;Name  326;C;B;833310,7055;0,804179546;0,079441949;Poisson;0;0;1
327;Name  327;C;A;587494,3053;0,854635217;0,262679987;Poisson;0;0;1
328;Name  328;A;A;140747,8452;0,976092998;0,19129533;Poisson;1;0;0
329;Name  329;C;E;198717,765;0,614961163;0,206845224;Poisson;0;0;1
330;Name  330;C;A;459131,6693;0,308127397;0,039573729;Poisson;0;0;1
331;Name  331;A;D;814620,2878;0,780010029;0,030388783;Poisson;1;0;0
332;Name  332;C;C;308806,7091;0,933736026;0,293715422;Poisson;0;0;1
333;Name  333;A;E;421809,8569;0,709536869;0,047195268;Poisson;1;0;0
334;Name  334;B;A;732331,4523;0,312725932;0,307972175;Poisson;0;1;0
335;Name  335;C;B;151002,2977;0,206672186;0,138897037;Poisson;0;0;1
336;Name  336;C;A;505737,796;0,077025966;0,047061912;Poisson;0;0;1
337;Name  337;B;B;622103,7932;0,914487364;0,205873402;Poisson;0;1;0
338;Name  338;C;A;275668,7398;0,323150714;0,310841927;Poisson;0;0;1
339;Name  339;B;E;492075,3409;0,458007206;0,142174274;Poisson;0;1;0
340;Name  340;C;D;534171,9449;0,525783145;0,069010611;Poisson;0;0;1
341;Name  341;C;D;414158,5556;0,8853865;0,179404697;Poisson;0;0;1
342;Name  342;A;A;701069,9501;0,988825446;0,213110373;Poisson;1;0;0
343;Name  343;B;B;854846,4984;0,814584639;0,082805293;Poisson;0;1;0
344;Name  344;C;A;787494,332;0,461994975;0,158846651;Poisson;0;0;1
345;Name  345;A;D;725737,2629;0,720965534;0,06887533;Poisson;1;0;0
346;Name  346;B;C;116439,2673;0,674116014;0,229308987;Poisson;0;1;0
347;Name  347;C;E;841342,5353;0,994776441;0,325315574;Poisson;0;0;1
348;Name  348;A;A;267891,6159;0,620847577;0,278484653;Poisson;1;0;0
349;Name  349;C;A;262406,1728;0,222436465;0,13245928;Poisson;0;0;1
